norm                    seed      train        val   best_val  best_step       grad   tr_ms/st     tr_tok/s   tr_us/tok   ev_ms/st     ev_tok/s   ev_us/tok   alloc_mb   reserved    overfit
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
rms               1162914961     0.0519     3.1651     1.6402       2000     0.3431     260.51      15723.3      63.600      93.91      43617.3      22.927    10299.9    10788.0       3000
rms               1225032379     0.1174     2.9747     1.5885       2000     0.6040     265.86      15406.8      64.906      93.32      43893.9      22.782    10299.9    10788.0       3000
rms               1258359901     0.1055     3.1753     1.5909       2000     0.5505     255.76      16015.0      62.441      89.51      45761.4      21.852    10299.9    10788.0       3000
rms               1301334618     0.0833     3.0622     1.6958       2000     0.4561     258.80      15826.9      63.184      89.53      45749.3      21.858    10299.9    10788.0       3000
rms               1310941852     0.1434     3.0940     1.6377       2000     0.7195     256.34      15978.8      62.583      89.96      45530.2      21.963    10299.9    10788.0       3000
rms               1426323417     0.0878     3.1091     1.6454       2000     0.5077     264.44      15489.2      64.561      92.81      44131.4      22.660    10299.9    10788.0       3000
rms               1431649702     0.0861     3.2503     1.5689       2000     0.4977     265.62      15420.4      64.849      90.27      45375.7      22.038    10299.9    10788.0       3000
rms               1497939373     0.0968     3.1291     1.5849       2000     0.5448     257.21      15924.9      62.795      89.90      45559.8      21.949    10299.9    10788.0       3000
rms               1639699922     0.0771     3.0632     1.6490       2000     0.4511     261.02      15692.5      63.725      91.18      44920.7      22.261    10299.9    10788.0       3000
rms               1718616343     0.0869     3.1483     1.6052       2000     0.5119     257.04      15935.3      62.754      89.56      45732.3      21.866    10299.9    10788.0       3000
rms               1722602715     0.1029     3.2169     1.6449       2000     0.5393     263.28      15557.4      64.278      92.86      44109.6      22.671    10299.9    10788.0       3000
rms               1786548453     0.0827     3.2417     1.5451       2000     0.4754     262.29      15616.2      64.036      93.27      43915.5      22.771    10299.9    10788.0       3000
rms               1970508508     0.1128     3.1352     1.6383       2000     0.6154     257.12      15930.5      62.773      90.42      45298.1      22.076    10299.9    10788.0       3000
rms               2022903755     0.0916     3.0368     1.5604       2000     0.4713     255.76      16015.1      62.441      89.52      45754.8      21.856    10299.9    10788.0       3000
